MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.LOCAL_POSITION,42.0390000,22.9992485,-23.0450783,-4.9385557
MsgID.LOCAL_VELOCITY,42.0390000,4.3682170,-4.1894946,0.1254047
MsgID.GLOBAL_POSITION,0.0000000,-122.3977125,37.7926874,4.9380000
MsgID.LOCAL_VELOCITY,0.0000000,4.3600000,-4.1800000,0.1200000
MsgID.LOCAL_POSITION,42.2890000,23.9354725,-23.9384232,-4.9398370
MsgID.LOCAL_VELOCITY,42.2890000,3.2614329,-2.9138491,0.0915116
MsgID.GLOBAL_POSITION,0.0000000,-122.3977226,37.7926958,4.9390000
MsgID.LOCAL_VELOCITY,0.0000000,3.2600000,-2.9100000,0.0900000
MsgID.LOCAL_POSITION,42.5390000,24.6558647,-24.5058155,-4.9332995
MsgID.LOCAL_VELOCITY,42.5390000,2.8204710,-1.5694859,0.0782941
MsgID.GLOBAL_POSITION,0.0000000,-122.3977289,37.7927023,4.9330000
MsgID.LOCAL_VELOCITY,0.0000000,2.8200000,-1.5600000,0.0700000
MsgID.GLOBAL_POSITION,0.0000000,-122.3977308,37.7927096,4.9290000
MsgID.LOCAL_VELOCITY,0.0000000,3.0700000,-0.1800000,-0.0500000
